CustomerID,Name,Phone_Number,Visited,
28229,Devon Reeves,(323) 958-1630,9,
12905,Joe Baird,(853) 745-0181,0,
92952,Marianna Patterson,(538) 536-3011,6,
45842,Thaddeus Mckay,(767) 533-3608,0,
58477,Naima Grimes,(591) 211-7756,3,
99840,Cannon Duarte,(974) 203-6513,1,
37409,Jazmin Pham,(306) 928-2210,6,
05234,Kiara Alexander,(482) 208-8116,5,
74556,Troy Serrano,(311) 951-4676,9,
73020,Elsa Blair,(783) 646-6891,6,
76467,Aldo Frederick,(780) 697-3127,7,
56933,Viviana Choi,(776) 785-3529,7,
68038,Kieran Rollins,(465) 438-7091,0,
54628,Tanya Griffin,(376) 570-8197,0,
55774,Lesly Lynn,(975) 492-6166,2,
17469,Aniya Roberson,(660) 779-2461,0,
50788,Harper Rowe,(880) 616-1636,1,
32786,Cannon Kent,(583) 320-2838,6,
15928,Dwayne Richardson,(768) 748-9782,8,
33546,Helena Webster,(428) 421-5661,4,
09414,Aden Waters,(491) 231-4284,4,
88312,Immanuel Bird,(979) 459-7029,4,
20137,Kaylee Dalton,(227) 915-9311,1,
25881,Jaiden Abbott,(794) 947-4181,3,
53835,Dustin Estrada,(572) 247-8193,4,
71834,Hezekiah Cabrera,(531) 565-4326,5,
08636,John Miles,(377) 847-1885,3,
99789,Jolie Hayes,(544) 319-8408,2,
60340,Raiden Donaldson,(630) 601-4716,2,
15145,Abbie Weeks,(568) 781-8486,6,
94425,Laylah Stone,(942) 410-2816,5,
57273,Mina Ramos,(803) 561-2040,0,
26248,Ashton Austin,(319) 712-1392,8,
58419,Trinity Wilcox,(861) 294-7978,1,
71821,Deven Lynch,(211) 585-9218,3,
20499,Noemi Sherman,(226) 598-1543,6,
20498,Jax Garcia,(393) 637-2243,5,
31988,Troy Haley,(287) 667-6615,4,
41563,Trent Lowe,(601) 275-4522,2,
72585,Francesca Hendricks,(924) 681-2051,6,
75266,Fabian Wright,(769) 234-3135,9,
10922,Laci Leonard,(650) 618-9435,5,
22795,Arely Kirk,(542) 302-5740,7,
21645,Ty Stokes,(911) 454-5753,3,
99394,Selena Finley,(509) 777-1770,5,
79857,Ashton Wiley,(611) 295-3517,2,
12449,Amari Patrick,(825) 937-2738,2,
02107,Ayanna Cooper,(715) 679-7601,9,
56873,Gilberto Levine,(490) 750-6293,2,
61852,Sophie Trevino,(338) 647-8311,6,
92872,Troy Sawyer,(921) 881-5327,0,
56867,Elena Barker,(476) 669-8108,5,
07842,Santiago Logan,(728) 642-7497,3,
93633,Adyson Mccarthy,(351) 857-5756,6,
28139,Kenny Mcmillan,(843) 364-7633,2,
87885,Trinity Dunlap,(517) 924-4821,0,
05539,Alvin Blanchard,(760) 304-7545,3,
40775,Charlee Dalton,(466) 876-4680,3,
62989,Monique Mccarthy,(650) 863-0368,5,
35794,Riley Cantu,(500) 630-2238,8,
30048,Jaiden Hooper,(772) 841-3437,6,
85197,Cade Strickland,(466) 284-1344,3,
48428,Emiliano Brandt,(906) 234-0472,7,
03614,Janelle Brandt,(403) 553-0050,1,
03996,Diana Bridges,(833) 462-6573,4,
01691,Andreas White,(221) 465-2493,5,
92460,Arturo Dickerson,(674) 838-1935,8,
46883,Kallie Frost,(911) 434-2922,4,
17008,Branson Beck,(912) 593-3400,7,
52244,Alberto Miller,(364) 360-9943,7,
73691,Jonah Vargas,(384) 336-5082,9,
00537,Jean Hodge,(572) 353-8476,1,
89775,Arielle Melendez,(482) 232-1271,6,
66029,Aaden Stanton,(491) 220-3301,3,
87858,Delaney Glover,(971) 661-4277,6,
77512,Maddox Miller,(911) 528-4531,2,
72146,Armani Bernard,(226) 968-1693,9,
30015,Trace Davidson,(422) 452-3142,5,
06651,Zackery Chan,(232) 565-0590,2,
38820,Kayla Weber,(376) 761-3953,8,
31924,Dereon Townsend,(742) 279-6191,4,
75585,Ean Ballard,(950) 879-3448,2,
06638,Kael Ramsey,(730) 687-3864,3,
83235,Averie Taylor,(476) 729-7775,4,
76720,Natalya Espinoza,(738) 599-6369,5,
74037,Akira Blackwell,(890) 363-9018,6,
64842,Isai Mcclure,(784) 805-2678,6,
03559,Holden Bonilla,(540) 598-4971,1,
80924,Kasen Gay,(439) 453-1189,8,
39174,Josephine Shepherd,(821) 629-5245,8,
59472,Gracelyn Carlson,(212) 582-1615,6,
81300,Kyra Liu,(251) 973-2662,8,
82064,Felicity Dawson,(213) 695-7077,7,
66743,Estrella Velazquez,(859) 274-8773,8,
11208,Khalil Thomas,(740) 697-2526,3,
75551,Alexandria Brandt,(316) 586-8534,9,
92402,Athena Galloway,(624) 205-2873,5,
97758,Yazmin Everett,(519) 727-9293,4,
47966,Athena Valentine,(223) 275-0128,2,
07367,Corinne Shah,(317) 324-3831,4,
00472,Gilberto Gonzales,(412) 222-9696,8,
06983,Selina Browning,(601) 717-5408,1,
93156,Jillian Hutchinson,(521) 396-8902,1,
02383,Israel Contreras,(429) 594-5171,6,
33406,Julien Buck,(244) 853-6797,2,
87025,Yandel Hines,(656) 862-7329,7,
37231,Lisa Gregory,(507) 966-3687,0,
23059,Zoie Zavala,(782) 580-0134,5,
25357,Rashad Banks,(845) 587-2893,1,
67869,Stephanie Golden,(480) 765-3484,10,
20759,Terrance Lyons,(692) 273-5321,1,
07351,Daniela Moran,(462) 968-7055,6,
31095,Jaylin Cardenas,(586) 689-6273,8,
10029,Mario Neal,(310) 420-4329,3,
47563,Megan Kim,(825) 448-5700,5,
76668,Brody Kaiser,(588) 444-6852,5,
69386,Ronald Pratt,(282) 695-4515,0,
12701,Alexis Sullivan,(296) 342-9030,4,
00441,Fisher Dorsey,(736) 393-3259,0,
76274,Bradley Brennan,(493) 486-8266,9,
57122,Kelsie Peters,(584) 699-5062,3,
50228,Livia Oconnor,(271) 288-3730,2,
55972,Kayden Cowan,(839) 386-8105,5,
64397,Miguel Schneider,(436) 850-2509,5,
83164,Audrey Cook,(374) 576-8706,2,
38353,Alijah Wilson,(876) 262-8071,5,
85076,Ciara Christensen,(411) 822-9312,8,
99242,Justus Peck,(778) 251-0002,2,
82772,Jorge Gilbert,(903) 897-8985,8,
73961,Gracie Burnett,(327) 416-0119,1,
03871,Kristian Herman,(493) 604-8577,8,
28766,Angelo Buchanan,(780) 245-1163,3,
52128,Emilio Chavez,(330) 537-7172,5,
93106,Charity Stevens,(507) 528-7324,2,
16887,Shaniya Roach,(258) 270-1304,0,
40249,Warren Camacho,(950) 740-4184,3,
55182,Anastasia Kane,(470) 911-1094,1,
96161,Sophia Soto,(811) 330-8558,5,
84666,Steve Osborne,(881) 333-6757,5,
13811,Alyson Watts,(226) 765-8070,9,
16486,Savanah Snow,(832) 642-7811,7,
09203,Yair Meyers,(947) 352-8634,9,
99206,Mya Wells,(930) 250-3276,5,
32181,Adriel Santos,(226) 650-0945,2,
56310,Gunnar Anthony,(428) 305-6924,6,
52862,Ahmed Hunt,(913) 957-8048,0,
99971,Destiny Giles,(997) 829-1928,3,
18009,Isabell Carr,(727) 527-4819,5,
10348,Zaid Cisneros,(485) 419-4949,9,
